加入日期,累计消费金额,性别,移动电话,当前积分,业态,label
-1.5884373125754674,-0.03797271561273299,-0.9640692248694852,-0.746045522291858,-0.11104755728212423,-1.5286511977405648,0
-1.5823293845424722,-0.05052296009742633,1.037257474965364,-0.6997915062854221,-0.11104755728212468,-0.4124220932731576,2
-1.5792754205260473,-0.03801817922485486,-0.9640692248694852,-0.7460455222918582,-0.11104755728212419,-1.530348413531995,0
-1.5792754205261288,-0.04853767613010309,1.0372574749653638,-0.6535374902789359,-0.11104755728212476,-0.3773442267581135,2
-1.579275420526029,-0.2068357312663301,-0.9640692248694857,1.1041151179672637,-0.11104755728212894,-1.0155025041145476,0
-1.5792754205260884,-0.5313141723860566,-0.9640692248694841,1.5204012620255032,-0.11104755728212409,-0.941954978801155,0
-1.5792754205261241,-0.049126011891967476,1.037257474965364,-0.6997915062854221,-0.11104755728212468,-0.4131563865606424,2
1.4044474235219155,-0.7351564424735163,1.037257474965362,1.5204012620256397,-0.11104755728212581,-0.5661269009384313,3
0.39511231609317066,-0.01085902049757518,-0.9640692248694862,0.5953209418959398,-0.1110475572821345,-1.2546914932457192,0
-1.550262762370044,-0.5371389754280713,-0.9640692248694841,1.5204012620255032,-0.11104755728212409,-0.942767015686369,0
-1.4937644280662414,0.03538474984704916,-0.9640692248694853,-0.6535374902788688,-0.11104755728212615,-1.5208075813761979,0
-1.4937644280662399,0.3654114365411446,1.0372574749653578,0.2715428298506595,-0.11104755728212819,0.09090909090909087,2
-1.4937644280662414,-0.32490892085107587,-0.9640692248694851,1.2891311819931328,-0.11104755728212372,-0.9937470975675208,0
-1.4937644280662414,0.03538474984704916,-0.9640692248694853,-0.6535374902788688,-0.11104755728212615,-1.5208075813761979,0
-1.4937644280662399,0.3654114365411446,1.0372574749653578,0.2715428298506595,-0.11104755728212819,0.09090909090909087,2
-1.4632247879019158,-0.32880717383199665,-0.9640692248694851,1.2891311819931328,-0.11104755728212372,-0.9962456422633463,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885384,0.08769671666749221,-0.964069224869486,0.13278078183122743,-0.11104755728213218,-1.3433830041199935,0
-1.460170823885382,0.09012369919497394,-0.964069224869486,0.17903479783771656,-0.11104755728213256,-1.326712044854607,0
-1.4555898778608252,-0.66313718056345,-0.9640692248694831,1.6591633100451233,-0.11104755728212472,-0.9312156416714099,0
-1.4540628958527992,0.08701322284035244,-0.964069224869486,0.13278078183122743,-0.11104755728213217,-1.3440359652453484,0
-1.452535913844326,-0.02233298934948144,-0.9640692248694852,-0.7460455222918583,-0.11104755728212413,-1.53718595247832,0
-1.4525359138443157,0.08701322284035244,-0.964069224869486,0.13278078183122743,-0.11104755728213217,-1.3440359652453484,0
-1.4525359138443157,0.08701322284035244,-0.964069224869486,0.13278078183122743,-0.11104755728213217,-1.3440359652453484,0
-1.447954967819883,-0.031217740144002082,-0.9640692248694851,-0.7922995382982979,-0.11104755728212377,-1.537849386491054,0
-1.4464279858114033,0.08606500977073234,-0.964069224869486,0.13278078183122743,-0.11104755728213216,-1.3446343544436319,0
-1.4357391117539513,0.08506104108502849,-0.964069224869486,0.13278078183122743,-0.11104755728213214,-1.3453102715323455,0
-1.4357391117540326,-0.49930504455890284,-0.9640692248694844,1.4741472460191292,-0.1110475572821239,-0.9574553481838265,0
-1.4326851477378597,0.08506104108502849,-0.964069224869486,0.13278078183122743,-0.11104755728213214,-1.3453102715323455,0
-1.431158165729411,-0.0394431859220594,-0.9640692248694851,-0.8385535543048049,-0.11104755728212351,-1.5394924324501897,0
-1.4296311837212963,-0.5001969659806257,-0.9640692248694844,1.4741472460191292,-0.1110475572821239,-0.9581837506782334,0
-1.420469291671921,0.08453124483658885,-0.964069224869486,0.13278078183122743,-0.11104755728213213,-1.3449654671028848,0
-1.420469291671921,0.08453124483658885,-0.964069224869486,0.13278078183122743,-0.11104755728213213,-1.3449654671028848,0
-1.4204692916719208,0.08549512308910842,-0.964069224869486,0.2252888138441626,-0.11104755728213281,-1.314096930638297,0
-1.4006185255651062,-0.03038150168059587,-0.9640692248694851,-0.792299538298298,-0.11104755728212373,-1.5403408273499029,0
-1.3884026694995544,0.005013251588594095,-0.9640692248694852,-0.699791506285369,-0.11104755728212498,-1.5346105948845825,0
-1.334958299212215,-0.5364447095895777,-0.9640692248694842,1.5204012620254967,-0.11104755728212401,-0.9584996864148837,0
