加入日期,累计消费金额,性别,移动电话,当前积分,业态,label
-1.638827718846443,-0.45559285879047134,1.0372574749653223,-0.6997915062854173,-0.11104755728213124,-0.5151515151515151,2
-1.638827718846443,-0.45559285879047123,-0.9640692248694479,1.2891311819932145,-0.11104755728213132,-1.2192134107027721,0
-1.638827718846443,-0.45559285879047123,-0.9640692248694479,-0.6997915062854174,-0.11104755728213134,-1.5757575757575755,0
-1.638827718846443,-0.4555928587904712,1.0372574749653223,1.520401262025615,-0.11104755728213139,-1.303030303030303,3
-1.638827718846443,-0.45559285879047123,-0.9640692248694479,1.2891311819932145,-0.11104755728213132,-1.2192134107027721,0
-1.638827718846443,-0.4555928587904714,1.0372574749653223,-0.8385535543048565,-0.11104755728213124,-0.5757575757575757,2
-1.6373007368382286,-0.45559285879047123,-0.9640692248694479,0.22528881384417987,-0.11104755728213138,-1.3939393939393936,0
-1.6373007368382286,-0.45559285879047123,-0.9640692248694479,-0.6535374902789365,-0.11104755728213134,-1.5757575757575755,0
-1.6357737548300173,-0.45559285879047134,1.0372574749653223,-0.7922995382983765,-0.11104755728213124,-0.5454545454545454,2
-1.6342467728218062,-0.45559285879047123,-0.9640692248694479,1.1041151179672966,-0.11104755728213138,-1.3051948051948048,0
-1.6327197908135906,-0.45559285879047134,1.0372574749653223,-0.6997915062854173,-0.11104755728213124,-0.5151515151515151,2
-1.632719790813592,-0.4555928587904712,1.0372574749653223,1.520401262025615,-0.11104755728213139,-1.303030303030303,3
-1.632719790813592,-0.45559285879047123,-0.9640692248694479,0.2715428298506595,-0.11104755728213138,-1.3636363636363633,0
-1.6327197908135913,-0.45559285879047123,-0.9640692248694479,-0.8385535543048568,-0.11104755728213132,-1.6060606060606057,0
-1.6311928088053789,-0.45559285879047134,-0.964069224869448,1.4741472460191358,-0.11104755728213125,-0.9347319347319347,0
-1.6311928088053784,-0.45559285879047134,1.0372574749653223,-0.653537490278937,-0.11104755728213124,-0.4848484848484849,2
-1.6296658267971653,-0.45559285879047123,-0.9640692248694479,-0.6535374902789365,-0.11104755728213134,-1.5757575757575755,0
